HYUNDAI,bitget,,missing
KIOXIA,bitget,,missing
JP225,bitget,,missing
KR200,bitget,,missing
DXY,bitget,,missing
VIX,bitget,,missing
USAR,bitget,USARUSDT,exact
URNM,bitget,,missing
XLE,bitget,,missing
EWY,bitget,EWYUSDT,exact
EWJ,bitget,EWJUSDT,exact
CORN,bitget,,missing
WHEAT,bitget,,missing
LITE,bitget,LITEUSDT,exact
PURRDAT,bitget,,missing
SKHX,bitget,,missing
JPY,bitget,,missing
EUR,bitget,,missing
SPX,okx,SPX-USDT-SWAP,exact
SP500,okx,SPX-USDT-SWAP,alias
XYZ100,okx,,missing
GOLD,okx,XAU-USDT-SWAP,alias
SILVER,okx,XAG-USDT-SWAP,alias
CL,okx,CL-USDT-SWAP,exact
BRENTOIL,okx,,missing
COPPER,okx,XCU-USDT-SWAP,alias
NATGAS,okx,NG-USDT-SWAP,alias
PLATINUM,okx,XPT-USDT-SWAP,alias
PALLADIUM,okx,XPD-USDT-SWAP,alias
URANIUM,okx,,missing
ALUMINIUM,okx,,missing
TTF,okx,,missing
TSLA,okx,TSLA-USDT-SWAP,exact
NVDA,okx,NVDA-USDT-SWAP,exact
AAPL,okx,AAPL-USDT-SWAP,exact
AMZN,okx,AMZN-USDT-SWAP,exact
GOOGL,okx,GOOGL-USDT-SWAP,exact
META,okx,META-USDT-SWAP,exact
MSFT,okx,MSFT-USDT-SWAP,exact
AMD,okx,AMD-USDT-SWAP,exact
ORCL,okx,ORCL-USDT-SWAP,exact
NFLX,okx,NFLX-USDT-SWAP,exact
PLTR,okx,PLTR-USDT-SWAP,exact
COIN,okx,COIN-USDT-SWAP,exact
HOOD,okx,HOOD-USDT-SWAP,exact
INTC,okx,INTC-USDT-SWAP,exact
MU,okx,MU-USDT-SWAP,exact
MSTR,okx,MSTR-USDT-SWAP,exact
BABA,okx,,missing
LLY,okx,LLY-USDT-SWAP,exact
COST,okx,COST-USDT-SWAP,exact
RIVN,okx,,missing
TSM,okx,TSM-USDT-SWAP,exact
CRCL,okx,CRCL-USDT-SWAP,exact
SNDK,okx,SNDK-USDT-SWAP,exact
CRWV,okx,CRWV-USDT-SWAP,exact
HIMS,okx,HIMS-USDT-SWAP,exact
DKNG,okx,,missing
BX,okx,,missing
GME,okx,GME-USDT-SWAP,exact
SMSN,okx,,missing
SOFTBANK,okx,,missing
HYUNDAI,okx,,missing
KIOXIA,okx,,missing
JP225,okx,,missing
KR200,okx,,missing
DXY,okx,,missing
VIX,okx,,missing
USAR,okx,USAR-USDT-SWAP,exact
URNM,okx,,missing
XLE,okx,XLE-USDT-SWAP,exact
EWY,okx,EWY-USDT-SWAP,exact
EWJ,okx,EWJ-USDT-SWAP,exact
CORN,okx,,missing
WHEAT,okx,,missing
LITE,okx,LITE-USDT-SWAP,exact
PURRDAT,okx,,missing
SKHX,okx,,missing
JPY,okx,,missing
EUR,okx,,missing
